Code;Symbol;f1;f2;f3;f4
000;i;0;1;1;1
010;ï;0,017;0,864585931;0,914214347;0,932
020;ɨ̟;0,033;0,737137395;0,833474909;0,868
030;ɨ;0,05;0,601723326;0,747689256;0,8
040;ɨ̱;0,067;0,466309256;0,661903603;0,732
050;ɯ̈;0,083;0,33886072;0,581164165;0,668
060;ɯ;0,1;0,203446651;0,495378512;0,6
100;i̞;0,166666667;0,933333333;0,933333333;1
110;ɪ;0,178;0,806321609;0,873178623;0,9405
120;ɪ̈;0,188666667;0,686781162;0,816562424;0,8845
130;ɨ̞;0,2;0,559769438;0,756407713;0,825
140;ɯ͓̈;0,211333333;0,432757714;0,696253003;0,7655
150;ɯ̽;0,222;0,313217267;0,639636804;0,7095
160;ɯ̞;0,233333333;0,186205543;0,579482093;0,65
200;e;0,333333333;0,866666667;0,866666667;1
210;ë;0,339;0,748057287;0,832142898;0,949
220;ɘ̟;0,344333333;0,63642493;0,799649939;0,901
230;ɘ;0,35;0,51781555;0,765126171;0,85
240;ɘ̱;0,355666667;0,399206171;0,730602402;0,799
250;ɤ̈;0,361;0,287573814;0,698109443;0,751
260;ɤ;0,366666667;0,168964434;0,663585675;0,7
300;e̞;0,5;0,8;0,8;1
310;ë̞;0,5;0,689792965;0,791107174;0,9575
320;ə̟;0,5;0,586068697;0,782737455;0,9175
330;ə;0,5;0,475861663;0,773844628;0,875
340;ə̱;0,5;0,365654628;0,764951802;0,8325
350;ɤ̞̈;0,5;0,26193036;0,756582083;0,7925
360;ɤ̞;0,5;0,151723326;0,747689256;0,75
400;ɛ;0,666666667;0,733333333;0,733333333;1
410;ɛ̈;0,661;0,631528644;0,750071449;0,966
420;ɜ̟;0,655666667;0,535712465;0,76582497;0,934
430;ɜ;0,65;0,433907775;0,782563085;0,9
440;ɜ̱;0,644333333;0,332103085;0,799301201;0,866
450;ʌ̈;0,639;0,236286907;0,815054722;0,834
460;ʌ;0,633333333;0,134482217;0,831792837;0,8
500;æ;0,833333333;0,666666667;0,666666667;1
510;a̽;0,822;0,573264322;0,709035725;0,9745
520;ɐ̟;0,811333333;0,485356232;0,748912485;0,9505
530;ɐ;0,8;0,391953888;0,791281543;0,925
540;ɐ̱;0,788666667;0,298551543;0,833650601;0,8995
550;ɑ̽;0,778;0,210643453;0,873527361;0,8755
560;ʌ̞;0,766666667;0,117241109;0,915896419;0,85
600;a;1;0,6;0,6;1
610;ä;0,983;0,515;0,668;0,983
620;ɐ̟˕;0,967;0,435;0,732;0,967
630;ɐ̞;0,95;0,35;0,8;0,95
640;ɐ̱˕;0,933;0,265;0,868;0,933
650;ɑ̈;0,917;0,185;0,932;0,917
660;ɑ;0,9;0,1;1;0,9
001;y;0;0,9;0,159809907;0
011;ÿ;0;0,747;0,132642223;0
021;ʉ̟;0;0,603;0,107072638;0
031;ʉ;0;0,45;0,079904954;0
041;ʉ̱;0;0,297;0,052737269;0
051;ü;0;0,153;0,027167684;0
061;u;0;0;0;0
101;y̞;0,166666667;0,8;0,133174923;0
111;ʏ;0,158166667;0,664;0,121868519;0,0085
121;ʏ̈;0,150166667;0,536;0,111227198;0,0165
131;ʉ̞;0,141666667;0,4;0,099920795;0,025
141;ʊ̈;0,133166667;0,264;0,088614391;0,0335
151;ʊ;0,125166667;0,136;0,07797307;0,0415
161;u̞;0,116666667;0;0,066666667;0,05
201;ø;0,333333333;0,7;0,106539938;0
211;ø̈;0,316333333;0,581;0,111094815;0,017
221;ɵ̟;0,300333333;0,469;0,115381759;0,033
231;ɵ;0,283333333;0,35;0,119936636;0,05
241;ɵ̱;0,266333333;0,231;0,124491513;0,067
251;ö;0,250333333;0,119;0,128778456;0,083
261;o;0,233333333;0;0,133333333;0,1
301;ø̞;0,5;0,6;0,079904954;0
311;ø̞̈;0,4745;0,498;0,100321112;0,0255
321;ɵ̟˕;0,4505;0,402;0,119536319;0,0495
331;ɵ̞;0,425;0,3;0,139952477;0,075
341;ɵ̱˕;0,3995;0,198;0,160368635;0,1005
351;ö̞;0,3755;0,102;0,179583842;0,1245
361;o̞;0,35;0;0,2;0,15
401;œ;0,666666667;0,5;0,053269969;0
411;œ̈;0,632666667;0,415;0,089547408;0,034
421;ɞ̟;0,600666667;0,335;0,123690879;0,066
431;ɞ;0,566666667;0,25;0,159968318;0,1
441;ɞ̱;0,532666667;0,165;0,196245756;0,134
451;ɔ̈;0,500666667;0,085;0,230389228;0,166
461;ɔ;0,466666667;0;0,266666667;0,2
501;œ̞;0,833333333;0,4;0,026634985;0
511;ɶ̽;0,790833333;0,332;0,078773704;0,0425
521;ɞ̟˕;0,750833333;0,268;0,12784544;0,0825
531;ɞ̞;0,708333333;0,2;0,179984159;0,125
541;ɞ̱˕;0,665833333;0,132;0,232122878;0,1675
551;ɒ̽;0,625833333;0,068;0,281194614;0,2075
561;ɔ̞;0,583333333;0;0,333333333;0,25
601;ɶ;1;0,3;0;0
611;ɶ̞̈;0,949;0,249;0,068;0,051
621;ɞ̟˕˕;0,901;0,201;0,132;0,099
631;ɞ̞̞;0,85;0,15;0,2;0,15
641;ɞ̠˕˕;0,799;0,099;0,268;0,201
651;ɒ̈;0,751;0,051;0,332;0,249
661;ɒ;0,7;0;0,4;0,3